word,word_pos,approved_definition,correct_example,incorrect_example
about,ADP,concerned with,"For data about the location of circuit breakers, refer to the wiring list.",
above,ADP,"In (or to) a position farther up than something
    NOTE: For other meanings, use:",Lift the cylinder above its installed position.,
abrasive,ADJ,that can remove material by friction,"Dust, when mixed with oil, has an abrasive effect.",
absent,ADJ,missing,"If one or more blades are missing, make an entry in the engine logbook.","If one or more blades are absent, make an entry in the engine logbook."
absorb,VERB,to take up or into,Absorb the fluid with a clean cloth.,
accept,VERB,to make a decision that something is satisfactory,Accept the relay if it is serviceable.,
access,NOUN,the ability to go into or near,Get access to the accumulator for the no. 1 hydraulic system.,
accident,NOUN,an occurrence that causes injury or damage,Make sure that the pins are installed to prevent accidents.,
accidental,ADJ,that does not occur on purpose,"To prevent accidental operation of the system, install the safety lock.",
accidentally,ADV,that does not occur on purpose,"If you accidentally move the lever, set the system to the neutral position again.",
accurate,ADJ,exact,The adjustment must be accurate.,
accurately,ADV,exactly,Put the repair sheet accurately on the damaged area.,
adapt,VERB,to change or adjust to that which is necessary,Adapt the pressure connection to the pitot head.,
add,VERB,"to increase the number, dimension, or quantity",Add 5 ml of hardener to the compound.,
adjacent,ADJ,"that which is near to an object, with no other objects of the same type between the two.",Make sure that you do not operate the adjacent control.,
adjacent to,ADP,"to be near to an object, with no other object of the same type between the two.",The fuel pump is installed adjacent to the bulkhead.,
adjust,VERB,"to put, or come to a specified position or value",Adjust the frequency to the value given in table 1.,
adjustable,ADJ,that you can adjust,The two stop bolts are adjustable.,
adjustment,NOUN,the effect of adjusting,Make sure that the adjustment is in the limits given in table 1.,
aft,ADJ,nearer to the rear of an air or sea vehicle,The pump is in the aft cell of the fuselage tank.,
aft,ADV,in the direction of the rear of an air or sea vehicle,Move the throttle aft.,
aft of,ADP,at a position nearer to the rear,The control unit is installed aft of the flight compartment.,
after,SCONJ,"that follows a specified time, sequence, or operation",Do a functional test after you install the component.,
after,ADP,"that follows a specified time, sequence, or operation",The bar moves down after 20 seconds.,
again,ADV,one more occurrence,"Move the control stick back to the center, then move it forward again.",
against,ADP,in contact with,Put the adapter in position against its support.,
agent,NOUN,one of a group of materials made to do a specified task,Do not use these cleaning agents on hot surfaces.,
agree,VERB,to be consistent with,The indications must agree with the values in the table.,
aid,NOUN,help that is given,"If you get the solution in your eyes, get medical aid immediately.",
airborne,ADJ,"in, or used in, flight",Position 2 of the switch gives a signal of the aircraft airborne condition.,
airflow,NOUN,a flow of air,Make sure that the airflow is not more than 10 liters/minute.,
align,VERB,to put or come into a spedified position in relation to a line,Align the flange holes with the studs.,
all,ADJ,full quantity,Drain all the fluids.,
almost,ADV,near the limit or the value,Make sure that the pressure in the cabin is almost zero.,
along,ADP,in a line parallel with the length or direction of,Move the tensiometer along the cable.,
also,ADV,in addition,Also do the applicable steps of this procedure.,
alternative,ADJ,that gives a choice,It is permitted to use alternative materials.,
alternative,NOUN,one of two or more objects that have almost the same properties or functions,"In an emergency you can use fuel f-43 as an alternative for fuels f-34 and
f-40.",
although,SCONJ,in spite of the fact that,"Although the pressure decreases, the valve must stay closed.",
always,ADV,at all times,Always keep the brightness control on the lcd display at maximum.,
an,AUX,function word: indefinite article,Make an entry in the logbook.,
analog,ADJ,of data given by pointers and dials,The pre-mod unit has analog indicators.,
and,SCONJ,"function word used to connect words, phrases or clauses",Make sure that the flaps are retracted and the aileron trim handwheel is in the zero position.,
angular,ADJ,that has one or more angles,Make sure that the angular position is correct.,
apart,ADV,At a distance (not specified) from,Move the cable strands apart.,
applicable,ADJ,correct or satisfactory for the task,Refer to the table that follows for the applicable torque values.,
apply,VERB,to put or spread something on,Apply a force of 100 n on the end of the lever.,
approach,VERB,go near,"If you must go near the engine exhaust, use ear protection.","If it is necessary to approach the engine exhaust, use ear protection."
approval,NOUN,that which permits a person or a thing to do something,Get the approval of the manufacturer before you repair.,
approved,ADJ,permitted by an authority,Do the procedure in an approved area.,
approximate,ADJ,almost correct/accurate,An approximate value is satisfactory.,
approximately,ADV,almost correct or accurate,Drain approximately 2 liters of fuel.,
area,NOUN,a specified surface or location,Do not smoke in the work area.,
arm,VERB,to install armaments,Arm the aircraft.,
around,ADP,on all sides of,Put the strap clamps around the cylinder.,
arrow,NOUN,a mark that has a point to show direction,Make sure that the arrow points in the direction of the fuel flow.,
as,SCONJ,construction used to show comparison or relation,Move the control as quickly as possible.,
as,ADP,"in the manner of, to the same quantity, equally",Do not use the cylinder as a support.,
assemble,VERB,"to attach, connect, or put together the parts of something",Assemble the valve as follows:,
assembly,NOUN,items that are connected for a specified function,Remove the wheel brake assembly from the axle.,
asymmetric,ADJ,not symmetrical,"If the result you get is not symmetrical, do a rigging test.","If you get an asymmetric result, do a rigging test."
at,ADP,"function word that shows the location, position, direction or time that something occurs",Disconnect the hose at the pitot head.,
attach,VERB,to stay together or to cause different items to stay together,Make sure that the label fully attaches to the surface and that there are no bubbles.,
authority,NOUN,an official organization that gives approval to something,Get the approval of the design authority before you change the procedure.,
automatic,ADJ,that operates without other input,Use the automatic system to open the doors.,
automatically,ADV,that operates without other input,The fuel flow stops automatically.,
auxiliary,ADJ,that operates in a secondary function,Lubricants for the engine and the auxiliary equipment are the same.,
available,ADJ,prepared or supplied for you to use,"If electrical power is available, do a continuity check.",
away from,ADP,in or to a different position or direction,Do the work in an area away from equipment or metal frame buildings.,
axial,ADJ,related to an axis,Do steps 1 thru 4 to make sure that no axial load is applied on the rod.,
axially,ADV,related to an axis,The load is applied axially.,
back,ADV,to an initial condition,Move the engine throttle back to 60% rpm.,
balance,VERB,to make equal,Balance the electrical loads on each generator.,
bare,ADJ,without a surface layer or protection,Bare metal surfaces are usually satisfactory for an electrical bond.,
basic,ADJ,approved minimum,This modification changes the basic configuration of the system.,
be,VERB,"to occur, exist","If there is corrosion on the pump vanes, replace the pump.",
because,SCONJ,as a result of,"Because the fluid level is incorrect, the system will not operate.",
because of,ADP,as a result of,"If you cannot remove a bolt because of corrosion, apply penetrating oil.",
become,VERB,to come to be,The screen becomes available.,
before,SCONJ,"that precedes a specified time, sequence, or operation",Bleed the system before you disconnect the components.,
before,ADP,"that precedes a specified time, sequence, or operation",The bar moves down before 20 seconds.,
behind,ADP,in a position at the rear of,The pump is installed behind the hydraulic motor.,
below,ADP,In (or to) a position farther down than something,The date is written below the cylinder neck.,
bend,NOUN,the area where something is bent,Examine the bends for cracks.,
bend,VERB,to change or cause to change from straight to curved,Bend the pipe carefully.,
beside,ADP,adjacent to,The fuel pump is adjacent to the spar.,The fuel pump is beside the spar.
between,ADP,related to something before and after in time or position,Make sure that the stopwatch indication is between 2 and 4 minutes.,
beware,VERB,be careful,Be careful of dangerous voltages.,Beware of dangerous voltages.
beyond,ADP,more than,Replace components that are worn more than the maximum limits.,Replace components that are worn beyond their maximum limits.
bleed,VERB,to let a gas out of,Bleed the speedbrake hydraulic system.,
block,VERB,cause a blockage,Make sure that the sealant does not cause a blockage of the drain.,Check sealant does not block drain.
blockage,NOUN,that which prevents correct operation,Make sure that there is no blockage of the pitot pipe.,
blocked,ADJ,that prevents correct operation,A blocked oil jet can cause incorrect operation.,
blow,VERB,to cause gas to move,Blow dry air through the feed and spray tubes.,
blunt,ADJ,not sharp,Remove the sealant with a blunt scraper.,
bond,NOUN,a connection between structural components for electrical continuity,Do a resistance check of the primary bonds.,
bond,VERB,to make an electrical bond,The static discharger is electrically bonded to the frame.,
bottom,ADJ,that is lowermost,Remove the bottom bolt.,
bottom,NOUN,the lowermost position,The drain plug is at the bottom of the unit.,
brace,VERB,hold,Support struts hold the floor structure in position.,Support struts brace the lap joints.
break,VERB,to cause to separate or become separated into parts by force,Break the bond of the sealant.,
breathe,VERB,to get gas into or out of the lungs,Do not breathe the solvent fumes.,
bright,ADJ,that gives much light,The navigation lights change from dim to bright.,
brightly,ADV,in a bright manner,The lights come on brightly.,
bubble,NOUN,a small quantity of gas in a liquid or a solid,Adjust the clinometer until the bubble is in the center.,
burn,VERB,to cause or undergo combustion,The turbine burns fuel.,
but,SCONJ,on the contrary,Tighten the nuts but do not torque them at this time.,
by,ADP,function word that you use when you multiply or dividenote: use as a function word to show agency when a passive construction is necessary in descriptive writing.,Divide the crosswind component by the aircraft speed to get the correction.,
bypass,VERB,to change a circuit so that it goes past something instead of through it,"In this configuration, the hydraulic pressure bypasses the valve.",
calculate,VERB,to find a result by mathematics,Calculate the pressure with the applicable formula.,
calibrate,VERB,to measure and adjust the precision of something,Calibrate the thermometer to the celsius scale.,
calibration,NOUN,the procedure that calibrates,Write the results of the calibration on the correction chart.,
can,VERB,"helping verb that means to be possible, to be able to, or to be permitted to",A mixture of fuel and oxygen can cause an explosion.,
cancel,VERB,to deselect a function or indication,Cancel the nav 1 fault indication and use the nav 2 system.,
cannot,VERB,to not be able to,The wheel cannot move when the lock is engaged.,
capacity,NOUN,the maximum quantity that something can hold or make,The capacity of the tank is 564 liters.,
capture,VERB,lock on,"If the dme signal locks on, the unit is serviceable.","If the DME signal is captured, the unit is serviceable."
careful,ADJ,with precaution,Be careful when you remove the cover.,
carefully,ADV,in a careful manner,Carefully apply a bead of sealing compound.,
catch,VERB,to stop or prevent the movement of something,The lug on the panel opening catches the bottom of the drawer.,
cause,NOUN,something that brings about a result,Do the troubleshooting procedure to find the cause of the malfunction.,
cause,VERB,to be the cause of,Metal objects can cause magnetic interference.,
change,NOUN,that which occurs when something changes,The color change shows that the temperature is too high.,
change,VERB,to become or to cause to become different,"If the humidity changes frequently, put a cover on the unit.",
charge,VERB,to accumulate or add electrical energy,Charge the battery.,
check,NOUN,the procedure you do to make sure something operates correctly,Do a check of the hydraulic system.,
chemical,ADJ,related to a chemical,Remove the corrosion with the chemical compound that is specified in table 6001.,
chemically,ADV,related to a chemical,Remove corrosion chemically.,
circular,ADJ,Has the shape of a circle,Polish the window with a circular movement.,
clean,ADJ,that does not include dirt or unwanted material,Make sure that the area is clean.,
clean,VERB,to remove dirt or unwanted materials,Clean the gasket contact area.,
clear,ADJ,without blockage or interference,Make sure that the pitot air inlet is clear.,
clearance,NOUN,the space between two objects that must be clear to make sure that they do not touch.,Make sure that there is a clearance between the lever and the roller.,
clearly,ADV,in a clear manner,Make sure that you hear the signals clearly at all stations.,
click,NOUN,"a short, sharp sound",Turn the adjuster five clicks counterclockwise.,
clockwise,ADV,in the direction in which the hands of a clock turn as seen from the front,Turn the nozzle 40 deg. clockwise.,
clogged,ADJ,blocked with unwanted material,"If the filter is clogged, replace it.",
close,VERB,"to move together, or to move to a position that stops or prevents materials from going in or out",Close the instrument panel.,
code,NOUN,"a sequence of symbols, letters, and/or numbers used for identification",Each electrical system has a code to identify it.,
coil,NOUN,a sequence of loops,Make sure that the coils of the oxygen hose do not rub together.,
cold,ADJ,at low temperature,Make sure that cold air comes out of the outlets.,
collect,VERB,"to come, or cause to come, together in one location",Fluid collects in the bottom of the cowling.,
color,NOUN,a property of light,The color changes from blue to red.,
come,VERB,to move toward something,The flag comes into view.,
come on,VERB,to become bright with light when an internal power source is energized.,The lights must come on.,
compare,VERB,to examine for differences,Compare the two values.,
compatible,ADJ,that can operate together satisfactorily or be used together safely,This software is compatible only with the specified operating system.,
complete,VERB,to bring to an end,Complete the functional test.,
complicated,ADJ,not easy,This test procedure is not easy without the correct equipment.,This test procedure is complicated without the right equipment.
component,NOUN,"The part(s), subassembly(ies) or unit(s), that do a specified function necessary for the correct operation of a system",Do not clean these components with trichloroethylene.,
compress,VERB,to decrease or cause to decrease in dimension or volume,Compress the spring and carefully install the cover.,
concentration,NOUN,the strength of something contained in a mixture,"In a high concentration, this material is poisonous.",
concentric,ADJ,that has a common center,The external diameter must be concentric to the internal diameter.,
concurrently,ADJ,at the same time,Do these two procedures at the same time.,These two procedures must be applied concurrently.
condensation,NOUN,the result when a gas changes into a liquid,"Put the switch in the ""on"" position to remove the condensation.",
condition,NOUN,something that is necessary for what occurs,These initial conditions are necessary to get correct results:,
connect,VERB,to come together or cause to come together to make one unit or system,Connect the electrical connectors to the instrument.,
connection,NOUN,that which connects or is connected,Make sure that all the fuel and air connections are installed.,
constant,ADJ,"that continues to be the same, without change",Make sure that the cabin pressure stays constant.,
contain,VERB,to have in something or hold in something,Each survival kit contains these items:,
container,NOUN,"something that holds fluids, materials, or objects",Put the container below the drain plug.,
contamination,NOUN,unwanted change of the original condition of a material because of chemical or physical agents or a material that causes such a change,Dust can cause contamination on all filters.,
contents,NOUN,something that is in a container,Examine the contents of the box for missing items.,
continue,VERB,to stay or keep in current condition or operation,Continue the test.,
continuous,ADJ,that continues,Make sure that there is continuous movement of the probe.,
continuously,ADV,in a continuous manner,Apply the pressure continuously.,
contour,NOUN,the outer line of something,Cut along the contour to remove the damaged skin.,
control,NOUN,something that controls,Use the manual control in an emergency.,
control,VERB,"to give or send signals that adjust, operate, or keep something to a limit, or that cause something to operate",The radio master switch 1 controls the bus bar.,
cool,ADJ,moderately cold,"When the area is sufficiently cool, polish the surface.",
copy,NOUN,an object made the same as another object,Send five copies of the defect report to the engineering authority.,
corner,NOUN,"the point or the angle made when lines, sides, or edges touch",Examine the opening for cracks that start at its corners.,
correct,ADJ,agrees with all that is necessary to the maximum,Make sure the polarities are correct.,
correct,VERB,to make correct,Correct the tension.,
correction,NOUN,a change to make something correct,Do not do the correction at this heading.,
correctly,ADV,agrees with all that is necessary to the maximum,Make sure that the circlip is correctly installed.,
count,VERB,to add the number of objects or occurrences to get a total,Count the number of treads.,
counterclockwise,ADV,in the opposite direction to clockwise,Make sure that you turn the control knob counterclockwise.,
critical,ADJ,very important,The condition of the radome is very important for its performance.,The condition of the radome is critical to its performance.
curve,NOUN,the shape of something which is bent but which has no angles,The radius of the curve must be a minimum of 8 mm.,
curve,VERB,make a curve,Bend the strip of metal to make a curve.,Curve the strip of metal.
cut,VERB,to divide into parts,Cut the cable into three equal lengths.,
cycle,NOUN,one complete sequence of operation,Set the switch to three cycles a minute.,
damage,NOUN,the result of an unwanted occurrence that changes the condition of something from its initial condition,Look for damage.,
damaged,ADJ,that has or can be affected by damage,Replace the damaged parts.,
dangerous,ADJ,"that can cause injury, damage to health or can kill",It is dangerous to use air in this system.,
data,NOUN,known facts,Make sure that you get all the data about the problem.,
date,NOUN,a specified day,"On the label, read the date of the last inspection.",
decision,NOUN,the result after you think about a problem,Make a decision about the procedure you will use.,
decontamination,NOUN,remove contamination,Remove the contamination from the fuel tanks.,Do the decontamination of the fuel tanks.
decrease,VERB,to make or become smaller or lower,Decrease the heading indications.,
de-energize,VERB,to remove electrical power from,De-energize the ac and dc busbars.,
defective,ADJ,unserviceable for operation,Replace the defective booster pump.,
deflate,VERB,to make or become smaller as a result of depressurization,Deflate the tire to a pressure of 2 bar (29 psi).,
defuel,VERB,to remove fuel,Defuel the tank.,
delicate,ADJ,easily damaged,Be careful with easily damaged parts.,Be careful with delicate parts.
deploy,VERB,to move or cause to move from a specified position of storage and into operation.,Keep personnel away from the aircraft when the thrust reverser deploys.,
depth,NOUN,"the distance from the top down, from the surface down, from the front surface to the rear surface",Measure the depth of a dent as shown in figure 4.,
deterioration,NOUN,a worse condition,This will cause a deterioration of the surface.,
device,NOUN,something used to do a task,Install the safety devices.,
diagonally,ADJ,in a diagonal direction,Apply the first layer of tape across the cutout and the second and third layers diagonally.,
difference,NOUN,"that which is different between two quantities, numbers or functions",The difference between the two dimensions must not be more than 0.10 mm.,
different,ADJ,not the same,"If the indications are different, do these steps.",
digital,ADJ,related to digits,Connect the prods of the digital voltmeter.,
digitally,ADV,given by digits,The value is shown digitally on the display.,
dim,ADJ,not bright,"During night operation, make sure that the panel lights are dim.",
dimension,NOUN,The result when something is measured in one direction,"Dimension ""a"" must not be more than 50 per cent of dimension ""d"".",
dimly,ADV,not bright,Make sure that the light comes on dimly.,
direction,NOUN,the line on which something moves or is pointed,The arrow on the valve body shows the direction of the flow.,
directly,ADV,in a direct procedure or by direct effect,Do not fill the system directly from a high-pressure storagecylinder.,
dirty,ADJ,not clean,A dirty contact in the connection units will cause them to operate incorrectly.,
disarm,VERB,to remove armaments,Disarm the aircraft.,
disassemble,VERB,to take an assembly apart,Disassemble the valve assembly.,
discard,VERB,to not use again,Remove the o-rings and discard them.,
disconnect,VERB,to cause to be not connected,Disconnect the power supply.,
disengage,VERB,to release from something that engages,Disengage the clutch before you start the engine.,
display,NOUN,a visual indication,A number in the top left corner of the display refers to a related page.,
distance,NOUN,the dimension between two points or objects,"Measure the distance between points ""a"" and ""b"".",
divide,VERB,to separate into parts or groups,You can divide the drains into three primary groups.,
do,VERB,"to complete a procedure, task or step",Do a functional test.,
down,ADJ,in a position below,Make sure that the anchor is down.,
down,ADV,to a position below,The pointer moves down.,
down,ADP,to a position below,Let the sleeve move down the guide tube.,
downstream,ADJ,in the direction of the flow,Disconnect the downstream connection.,
downstream,ADV,in the direction of the flow,Move the probe downstream and monitor the temperature again.,
downstream,ADP,in the direction of the flow,Disconnect the connection which is downstream of the valve.,
drain,VERB,to remove liquid,Drain the system fully.,
drink,VERB,to consume liquid,"Do not eat, drink, or smoke in the work area.",
drop,NOUN,a small quantity of liquid in a spherical shape,Drops of fuel from the tanks are not permitted.,
dry,ADJ,without liquid or moisture,Make sure that the surface is dry.,
dry,VERB,to remove liquid,Dry the filter in an oven.,
during,ADP,in or for a specified time,Monitor the indications during the retraction test.,
each,ADJ,"every one of two or more objects or persons, seen together as a group but identified separately","Make sure that the switch in each panel is set to ""off"".",
each,PRON,"every one of two or more objects or persons, seen together as a group but identified separately","Install two spacers, each 3.5 mm thick.",
ease,VERB,carefully remove,Carefully remove the trim cover from the adhesive tape.,Ease trim cover from adhesive tape.
easily,ADV,without difficulty,Oxidation occurs very easily.,
easy,ADJ,without difficulty,Use the left opening for easy access.,
eat,VERB,to consume food,Do not eat in the work area.,
edge,NOUN,a line that is the intersection of two surfaces of a solid object,The distance between the edge of the panel and the partition must not be more than 0.05 mm.,
effect,NOUN,the result of a cause,The effect of co2 on stressed parts can be dangerous.,
eject,VERB,to move or to cause a person or item to move from an aircraft or equipment with force,"If you pull the ejection seat handle, the seat will eject.",
electric,ADJ,operated by electricity,"If the hydraulic pump does not supply a pressure of 3000 psi, use the electric pump.",
electrical,ADJ,related to or operated by electricity,Supply electrical power to the system.,
electrically,ADV,Related to or operated by electricity ,The system is hydraulically operated and electrically controlled.,
electromagnetic,ADJ,related to electromagnetism,The electromagnetic test procedure uses electromagnetic force.,
electromagnetically,ADV,Related to electromagnetism,The system holds the position electromagnetically.,
electronic,ADJ,related to or operated by electronics,This bay contains some of the electronic equipment of the aircraft.,
electronically,ADV,related to or operated by electronics,This unit is electronically controlled.,
emergency,NOUN,a condition that occurs suddenly and is dangerous,"In an emergency, break the glass.",
empty,ADJ,without contents,Make sure that the reservoir is empty.,
end,NOUN,"where time, distance, or sequence are completed",Examine the shackle at the end of the sling.,
energize,VERB,to supply electrical power to,Energize the ac and dc buses.,
engage,VERB,to correctly align and come together,Engage the clutch.,
enter,VERB,go into,Do not go into the engine test area without approval.,Do not enter the engine test area without approval.
entrance,NOUN,an opening to go into a space,Put safety barriers at the entrance to the work area.,
entry,NOUN,a record of an occurrence,Make an entry in the aircraft log.,
equal,ADJ,"the same dimension, quality, quantity, or number",Make sure that there is an equal distance between the holes.,
equally,ADV,"the same dimension, quality, quantity, or number",Adjust the turnbuckles equally.,
equipment,NOUN,the objects or tools used for operation and maintenance,Remove all the equipment from the work area.,
equivalent,ADJ,"has the same properties, functions, or values",Materials (ref no. 2) and (ref no. 18) are equivalent.,
equivalent,NOUN,"something that has the same properties, functions, or values","Use cleaning compound ardrox 6025, or an equivalent.",
erase,VERB,to remove data from a medium,Erase the tape.,
error,NOUN,the difference from that which is correct or accurate,"If the error is more than 3 deg., calibrate the compass.",
estimate,NOUN,"a calculated, approximate result",Make an estimate of the necessary quantity.,
eventually,ADV,some time,"If the cable rubs, it will break after some time.","If the cable chafes, it will eventually break."
examine,VERB,to look carefully at,Examine the computer for damage.,
example,NOUN,something from a group which has the same qualities as the group,Figure 2 is an example of a repair procedure for a damaged web.,
exceed,VERB,more than,Make sure that the indication is not more than 400 knots.,Ensure indication does not exceed 400 knots.
excess,ADJ,too much,Do not apply too much adhesive on the gasket.,Do not apply excess adhesive on the gasket.
excess,NOUN,too much,"If you use too much paint, the finish will be unsatisfactory.",An excess of paint will give a poor finish.
excessive,ADJ,too much,Too much force can cause damage to the seal.,Excessive force can damage the seal.
excessively,ADV,too much,Be careful not to turn the inner races too much.,Be careful not to excessively rotate the inner races.
exclude,VERB,not include,This procedure does not include the removal of the piston.,This procedure excludes the removal of the piston.
exhaust,NOUN,The gas from an engine ,The exhaust from the apu is dangerous.,
exit,NOUN,an opening to go out of a space,Make sure that all the emergency exits are clear of unwanted objects.,
expand,VERB,"to increase in dimension, volume or time",The bellows must expand.,
expired,ADJ,more than the permitted life,Make sure the shelf life is not expired.,
explosion,NOUN,the effect when an explosive material quickly releases its energy,This condition can cause an explosion.,
explosive,ADJ,that can cause an explosion,The safety precautions that follow are applicable to explosive items.,
extend,VERB,"to increase, or cause something to increase, in dimension or range",Fully extend the jack ram.,
extension,NOUN,the action when something extends,Make sure that the extension of the actuator is smooth.,
external,ADJ,"of, or on, the outer side",Connect the external power supply.,
externally,ADV,"of, or on, the outer side",The box is installed externally.,
extinguish,VERB,to stop burning,"To extinguish a fire in the engine, pull the ""fire"" handle.",
extreme,ADJ,very high,Do not apply very high loads.,Do not apply extreme loads.
face,NOUN,the front surface of a part,Clean the face of the indicator.,
facility,NOUN,note: be specific. use the name of the facility as a technical name.,Weigh the aircraft on a weighbridge.,You need a special facility to weigh the aircraft.
fact,NOUN,something that occurred or is correct,Get all the facts about the incident from the pilot.,
fall,VERB,to move down by the force of gravity,Make sure that the tools do not fall into the engine.,
far,ADJ,at or to a relatively large distance,Remove the bolt that is farthest from the center.,
fast,ADJ,at high speed,A fast movement of the throttle will cause a surge.,
feather,VERB,to put a propeller to a position of minimum drag,Put the condition lever in the ftr position to feather the propeller.,
feel,VERB,to touch to find,Carefully lift the magnetic level indicator until you feel the magnets.,
few,ADJ,"small numbernote: if possible, give a specific number.",This procedure is only for repairs that include a very small number of rivets.,This procedure is only for repairs that include very few rivets.
fill,VERB,"to put into a container to the maximum level or, if specified, to a given level, pressure, or quantity",Fill the tank with methanol.,
filtered,ADJ,that has gone through a filter,Dry the unit with low-pressure filtered air.,
find,VERB,"to discover, to examine something so that you know",You can find the numbers on the switch.,
finger-tighten,VERB,tighten with your fingers,Tighten the nut with your fingers.,Finger-tighten the nut.
finish,NOUN,the result of a finishing procedure,Do not cause damage to the surface finish of the flap.,
fire,NOUN,the light and/or heat from a material when it burns,"If there is a fire in the engine compartment, you will hear the gong.",
fire,VERB,"to ignite, or to operate items that contain an explosive material",Fire the cartridges.,
first,ADV,before other persons or things,Fill the inner tanks first.,
fit,NOUN,"the relation between two related parts, a limit of tolerance",You will find data about the fits and clearances in section 9001.,
flame,NOUN,burning gas,"If you see flames from the exhaust pipe, stop the engine.",
flammable,ADJ,that burns easily,The solvent is flammable.,
flange,NOUN,an end surface at an angle,Make sure that the flange is not damaged.,
flash,VERB,to come on and go off frequently,The red lights flash in half-second intervals.,
flat,ADJ,has a continuous surface in the same plane,Lubricate one side of the flat washers.,
flexible,ADJ,that can easily bend again and again,Connect the flexible hoses to the pump.,
flight,NOUN,the time an aircraft is in the air,"After each flight, read the counter unit indications.",
flow,NOUN,a continuous movement of fluid,An arrow on the valve shows the direction of the fuel flow.,
flow,VERB,to move as a fluid moves,The oil must flow out of the valve.,
fluid,NOUN,liquid or gas,These fluids can cause corrosion.,
flush,ADJ,of a surface that is level or continuous with another surface,Make sure that the door is flush with the fuselage skin.,
flush,VERB,to remove something or to operate with a flow of liquid,Flush the tubes with pressurized fuel.,
fold,VERB,to double over or to cause to double over on itself,The drag-stay assembly folds when the nlg retracts.,
