word,word_pos,approved_definition,correct_example,incorrect_example
follow,VERB,to come after,This test follows the installation of the hp pump.,
for,ADP,"function word that shows purpose, intent, time, result or the object of an action",Let the potting compound dry for one hour.,
forbidden,ADJ,not permitted,It is not permitted to install more than two washers for each bolt.,It is forbidden to install more than two washers for each bolt.
forward,ADJ,nearer to the front,The control unit is installed in the forward part of the cargo compartment.,
forward,ADV,in the direction of the front,Move the levers forward.,
forward of,ADP,at a position nearer to the front,The tension regulator is installed forward of the pressure bulkhead.,
fragile,ADJ,easily damaged,The water quantity transmitter is easily damaged.,The water quantity transmitter is fragile.
free,ADJ,that can move easily,Makesure that the nuts are free to turn on the sleeves.,
freely,ADV,that can move easily,Oxygen must flow freely from the end of the hose.,
freeze,VERB,To go or cause to go to a temperature below freezing point of a liquid (usually water),Freeze the bushings before you install them.,
frequent,ADJ,that occurs or is found often at short intervals,Frequent inspection of these areas is necessary.,
frequently,ADV,at frequent or short intervals,Monitor the indicators frequently.,
from,ADP,"function word that shows a point of departure for movement, time, distance, action, or separation",Remove the protective cover from the new assembly.,
front,ADJ,nearer to the person that looks or a reference pointnote: refer also to in front of.,"There is a ""fault"" light is on the front face of the computer.",
front,NOUN,the front part or the front surface,Clean the front of the mounting flange with solvent.,
full,ADJ,"at or related to maximum travel, length, quantity, or detail",Make sure that the reservoir is full.,
fully,ADV,"at or related to maximum travel, length, quantity, or detail",Turn the control to the fully closed position.,
fume,NOUN,gas released from a material that you can usually smell but cannot see,Do not breathe the solvent fumes.,
function,NOUN,the purpose of an operation or an item,The primary function of this unit is to control the fuel flow.,
gas,NOUN,a fluid that has no shape or volume and that can expand,The temperature sensing unit is a capillary tube filled with gas.,
general,ADJ,"of, or related to something as a whole, not detailed",This section gives general maintenance procedures.,
get,VERB,"to obtain, to come into the state of having
note: do not use this word to mean become, go, decrease, increase. refer to
	  rule 9.2 and the entries for ""get"" that follow.","If you get the fluid on your skin, flush your skin immediately with clean water.",
give,VERB,to provide,This section gives you the procedures for the disassembly.,
glossy,ADJ,smooth and shiny,Apply the patch with the matt side against the glossy surface.,
go,VERB,to move to or from something,Make sure that the pointer goes out of view.,
go off,VERB,To become dark when an internal power (TN) source is de-energized,The annunciator light goes off.,
good,ADJ,that is satisfactory,This material gives good protection from corrosion.,
gradually,ADV,slowly and continuously,Gradually open the cocks on the recharging unit.,
greatly,ADV,very much,This can increase the risk of injury very much.,This can greatly increase the risk of injury.
groove,NOUN,a long channel that is not wide,Clean the groove with trichloroethane.,
ground,NOUN,the surface of the earth,You can only do this procedure on the ground.,
ground,VERB,to connect to the ground or to a large object of zero potential,Ground the fuel tanks.,
group,NOUN,objects that are related,This group of sealing compounds is also applicable in an emergency.,
hand-tight,ADJ,tighten with your hand,Install the filter case and tighten it with your hand.,Install the filter case handtight.
hand-tighten,VERB,tighten with your hand,Tighten the swivel nut with your hand.,Hand-tighten the swivel nut.
hang,VERB,to attach or to be attached to something above with no support from below,Hang the shackle on the hoist.,
hard,ADJ,"not easy to cut, not easy to go into or through","If the surface is hard, use a carbide drill.",
have,VERB,to possess as a part or quality,The system has an emergency warning device.,
head,NOUN,the top of something,Make sure that the head of the bolt is down.,
hear,VERB,to know by sound in the ear,Make sure that you hear the audio signals in all the crew headsets.,
heat,NOUN,the condition or quality of being hot,Use heat to cure the polysulphide sealant.,
heavy,ADJ,"that has a large mass, weight, or force",A support will be necessary because the control unit is heavy.,
height,NOUN,the vertical distance,The height from the ground to the top of the fin can change.,
help,VERB,to make something easier or better,Petrolatum helps prevent corrosion of the terminals.,
here,ADV,in this position,"To download the file, click here.",
high,ADJ,that is of large value,Use the special protection for storage in high temperatures.,
hit,VERB,to touch suddenly and with much force,Do not hit the cartridge.,
hold,VERB,to continue to have in the hand or grip,Hold the rod tightly.,
hole,NOUN,an empty space in a solid object,Make sure that the holes in the bushing and the housing are aligned.,
horizontal,ADJ,parallel to the horizon or a baseline,Adjust the sling until the flap is horizontal.,
horizontally,ADV,in a horizontal position,The valve is installed horizontally.,
hot,ADJ,at a high temperature,Dry the surface with hot air.,
how,ADV,by which manner,Paragraph 7.0 tells you how to install the unit.,
hydraulic,ADJ,"related to, or operated by, pressurized liquid",Connect the fittings to the hydraulic test bench.,
hydraulically,ADV,with hydraulic power,The flight controls are hydraulically operated.,
identification,NOUN,something that identifies an object,The equipment supplies the identification of the aircraft.,
identify,VERB,to use a specified code or marking to supply with an identity,Identify the wires with sleeves of different colors.,
if,SCONJ,"in the event that, on the condition that, in case of","If you use a replacement fairing plate, cut the fairing plate to get the correct dimension.",
ignore,VERB,"not to think about something, not to do something about",Ignore the vibration indications.,
illuminate,VERB,to make something visible by an external source such as light.,Make sure that the strobe light illuminates the tracking plates.,
immediately,ADV,withouta gap of time or space,"Make sure that the switch immediately goes back to ""off"".",
immerse,VERB,put fully into,Put the filter fully into the solvent.,Immerse filter in solvent.
impair,VERB,operate incorrectly,Damage will cause the instrument to operate incorrectly.,Damage will impair operation of the instrument.
important,ADJ,that has a significant effect,These procedures are very important.,
impossible,ADJ,not possible,"Thus, it is not possible to give a standard value.","Thus, it is impossible
	  to give a standard value."
impurity,NOUN,unwanted material,Use a filter to remove the unwanted material from the oil.,Filter the hydraulic oil to remove impurities.
in,ADV,"to, into, or in a location or position",Make sure that the push button switches are in.,
in,ADP,"function word that shows location, position, condition, time or limits",Let the switch stay in the set position.,
in front of,ADP,in a position ahead of,Put chocks in front of the wheels.,
in progress,ADV,occurring,"If an interactive session is in progress, let it continue until it is fully completed.",
inactive,ADJ,no effect,"In this configuration, the line key has no effect.","In this configuration, the line key is inactive."
inboard,ADJ,Nearer to the longitudinal axis,Remove the inboard fairing of the flap hinge.,
inboard,ADV,In or to a position nearer to the longitudinal axis (TN),The landing gear retracts inboard into the bay.,
incident,NOUN,an important occurrence that can cause damage or have dangerous results,Record all incidents of water found in the fuel.,
include,VERB,"to make, or to be, part of",This chapter includes the procedures for the removal of the components.,
incorrect,ADJ,not correct,"If the trim tab adjustment is incorrect, do steps 7 thru 10.",
incorrectly,ADV,in an incorrect manner,"If you see the red mark, the part is installed incorrectly.",
increase,VERB,to make or become larger or higher in value,Increase the vane angle to 90 degrees.,
increment,NOUN,"one of a sequence of regular operations done one after the other, to increase or decrease an adjustable quantity",Adjust the stop bolt in increments of 5 mm.,
independently,ADV,without a relation with,The emergency system is controlled independently.,
indication,NOUN,something that is shown,Make sure that the indication is correct.,
inflate,VERB,to make or become larger as a result of pressurization by gas,Inflate the tires with nitrogen.,
information,NOUN,data collected and made available for a specified function,This manual contains information about maintenance procedures.,
ingress,VERB,go into,"If water goes into the component, damage will occur.",Water ingress will damage the component.
initial  ,ADJ,that is related to the start,Move the lever back to its initial position.,
initially,ADV,at the start,"Initially, the speed increases to 3000 rpm.",
injury,NOUN,damage to a person,Bend the ends of the locking wire to prevent injury.,
inner,ADJ,nearer to the center of an object,The inner surface of the part is black.,
input,NOUN,"the data, power, or energy put into equipment or a system",The unit compares the inputs from the two sensors to the computer.,
inspection,NOUN,the procedure which compares an object with its standard or specification,Use a voltmeter to do this inspection.,
install,VERB,to attach an item in or to a second item,Install the new o-rings on the spindle.,
installation,NOUN,the procedure which installs an item,Refer to para. 3 for installation of the canopy.,
instruction,NOUN,a command that you must obey,"If you do not obey this instruction, damage can occur.",
instrument,NOUN,an item which measures and/or shows,All the instruments are on the left quarter panel.,
insufficient,ADJ,not sufficient,"If this step is not sufficient to stop the leakage, replace the actuator.","If this action is insufficient to stop the leakage, replace the actuator."
insulation,NOUN,a material that helps to prevent the movement of energy,Make sure that you do not cause damage to the insulation.,
intact,ADJ,not damaged,Make sure that the windscreen is not damaged.,Make sure the windscreen is intact.
intensity,NOUN,"the quantity of strength, force or energy",Operate the dimmer switch and make sure that the intensity of the light changes.,
interchange,VERB,to put or use each of two things in the place of the other without change,Interchange the no.1 and no.2 computers. then do the test again.,
interchangeable,ADJ,that you can interchange,Relays 2yg and 8yg are fully interchangeable items.,
interface,NOUN,the connection between two systems or components,Clean the interface between the computer and the sensor.,
intermittent,ADJ,"that stops and starts again, not continuous",This causes intermittent operation of the warning lights.,
intermittently,ADV,in an intermittent manner,The light comes on intermittently.,
internal,ADJ,"of, or on, the inner side",Make sure that fuel comes out of the internal ejectors.,
internally,ADV,"of, or on, the inner side",Use a borescope to examine the combustor internally.,
interval,NOUN,a distance or gap between two points in space or time,Do the test at five-minute intervals.,
into,ADP,movement to something and access to it,"If something goes into the opening, this can cause damage to the engine.",
irregular,ADJ,not regular,"If the signals are irregular, replace the unit.",
irregularly,ADV,not regularly,"If the unit receives the signals irregularly, replace it.",
isolate,VERB,to prevent a supply or connection to,Isolate the electrical power supply.,
it,PRON,that thing,Carefully move the deflector unit down until it engages.,
item,NOUN,a thing that is determined or specified,Lubricate these items with grease.,
its,ADJ,belonging to a thing,Remove the unit and its wiring.,
jerk,VERB,sudden movement,Pull the oxygen mask with a sudden movement to start the flow of oxygen.,Jerk the oxygen mask to start the flow of oxygen.
joint,NOUN,the area at which two surfaces or edges touch or are attached,Seal the joint with sealing compound.,
keep,VERB,to continue to have or hold,Keep the compound in a closed container.,
kill,VERB,To cause death,High voltages can kill you.,
know,VERB,"to be sure of data, to have data ready to use","If you know the clearance, you can calculate the washer thickness.",
laminated,ADJ,made of laminations,This panel is made of laminated carbon fiber.,
lamination,NOUN,layers of one or more materials bonded together,"If the laminations are damaged, replace the panel.",
large,ADJ,"more than average in dimension, quantity, or capacity",Clean your skin with a large quantity of clean water.,
last,ADJ,that comes at the end,"Immediately after the last flight of the day, install all covers.",
last,ADV,after other persons or things,Fill the outer tanks last.,
latch,VERB,to hold something in position with a latching device,Make sure that you latch the door correctly.,
lateral,ADJ,related to or on the side,Adjust the lateral level.,
laterally,ADV,in a lateral direction,"Push the unit out, and then move it laterally.",
layer,NOUN,"a material applied to a surface or put on, or below, a second material",Apply a thin layer of sealing compound on the bare metal.,
leak,NOUN,a crack or hole which lets fluid or light go into or come out of something,Examine the swivel couplings for leaks.,
leakage,NOUN,the quantity of material that goes through a leak,Measure the leakage from the pcu.,
left,ADJ,on the west side when you look north,Install the control panel in the left console.,
length,NOUN,the distance from one end to the other end,Measure the length of the jack ram.,
less,ADJ,"of smaller dimension, value, quantity, volume, or number",The flow rate must not be less than 4.0 gpm.,
let,VERB,to give opportunity,Let the adhesive become tacky.,
level,ADJ,horizontal to a known datum,Park the aircraft on level ground.,
level,NOUN,"a horizontal line, plane, surface, or condition",Fill the tank to the correct level (refer to fig. 105).,
life,NOUN,the time during which you can use an item or object,The life of the cartridge in the fire extinguisher is 3 years.,
lift,VERB,to move something up,Lift the cover carefully.,
light,ADJ,"that has a small mass, weight, or force",Apply a light force on the rudder pedals.,
light,VERB,come on,Make sure that the fluid indicator light comes on.,Ensure that the fluid indicator light lights.
lighting,NOUN,that which gives light to,A dimmer unit controls the panel lighting.,
lightly,ADV,in a light manner,Lightly rub the defective area with wet abrasive paper.,
limit,NOUN,"a specified maximum or minimum quantity, number, time, or distance","If the clearances are not in the limits given in fig. 4, refer to repair scheme no. 2.",
linear,ADJ,in a straight line,Make sure that the results are linear.,
linearly,ADV,in a straight line,Increase the pressure linearly.,
liquid,ADJ,that has the properties of a liquid,"During servicing, liquid oxygen flows through the stabilizing container.",
liquid,NOUN,a material that is not a gas or a solid,The converter changes the liquid into a gas.,
listen,VERB,to use your ears to hear or find,Listen for the signal.,
little,ADJ,small quantity,Add a small quantity of disinfectant to the solution.,Add a little disinfectant to the solution.
live,ADJ,that includes explosive material,Some maintenance operations are not permitted on aircraft that have live ammunition.,
local,ADJ,applicable to a given location or position,"Set the ""lat"" knob to the local latitude.",
locally,ADV,applicable to a given location or position,You can also do this test with a locally made tool.,
location,NOUN,a place or site that you can find,Figures 1 thru 4 show the locations of the walkways.,
lock,VERB,"to attach something, or hold it in position with a locking device",Lock the switch and remove the key.,
lock on,VERB,to find and stay on a target or signal automatically,The distance measuring equipment locks on at 5 miles.,
long,ADJ,that has large length or duration,Use a tube which is not longer than 3.3 feet.,
long,,maximum length,Use a drill bit that has a maximum length of 45 mm.,Use a drill bit no longer than 45 mm.
longitudinal,ADJ,related to the longitudinal axis,Adjust the longitudinal trim system.,
longitudinal,ADJ,related to the longitudinal axis,Adjust the longitudinal trim system.,
longitudinally,ADV,in a longitudinal direction,Move the stand longitudinally.,
look,VERB,to use your eyes to see or find,Look through the inspection window.,
loop,NOUN,a circular shape made in a flexible material,Make a loop of wire around the unit.,
loose,ADJ,"on, in, but not attached","Make sure that you remove all tools, equipment and loose objects from the air intake.",
loosely,ADV,not tightly,Make sure that the parts are loosely assembled.,
loosen,VERB,to cause to be not tight,Loosen the screws that attach the clamp to the support.,
low,ADJ,that is of small value,The switch senses low pressure in the distribution circuit.,
lower,VERB,to move something down,Lower the antenna to get access to the cable connector.,
lubricate,VERB,To apply lubricant,Lubricate the o-rings with hydraulic fluid (nato h-515).,
magnetic,ADJ,related to the properties of a magnet,Remove the magnetic drain plug from the oil tank.,
magnetically,ADV,in a magnetic manner,Release the magnetically latched switches.,
maintenance,NOUN,the servicing and/or the repair of something to keep it in the correct condition,Do not refuel the aircraft during the maintenance.,
make,VERB,"to manufacture, to cause to occur or to become",Make a recess for the studs of 5 mm.,
make sure,VERB,to verify and/or do the necessary steps,Make sure that no leak detection fluid goes into the oxygen system.,
maladjusted,ADJ,incorrectly adjusted,"If the warning light is on when the door is closed, the microswitch is incorrectly adjusted.","If warning light is on when door is closed, microswitch is maladjusted."
malfunction,NOUN,incorrect operation,Refer to table 104 to correct the malfunction.,
mandatory,ADJ,"that which you must do, use, or obey",This service bulletin is mandatory.,
manual,ADJ,operated with the hands,Use the manual controls if the automatic controls do not operate.,
manual,NOUN,a publication that supplies data related to a special subject,This manual identifies and supplies the performance data.,
manually,ADV,with the hands,Move the flaps manually.,
many,ADJ,"of large numbernote: if possible, give the range, number, or quantity.",Corrosion can have many causes.,
mark,NOUN,"something that you make or is made to show an identification, location, or direction",The red marks show a maximum steering angle of 35 degrees.,
mass,NOUN,the quantity of matter that is in an object and relates to its weight. the equivalent of inertia.,Structural or equipment modifications can change the basic mass and the center-of-gravity coordinates.,
material,NOUN,a substance or something from which a thing is made,Remove the unwanted material before you install the seal.,
mating,ADJ,made to touch,Apply grease on the mating surfaces of the starter generator.,
matt,ADJ,not glossy,Apply matt paint on the panel.,
maximum,ADJ,"related to the largest dimension, quantity, number, or value",The maximum value that the voltmeter shows is 199.9 v.,
maximum,NOUN,"the largest dimension, quantity, number, or value",Move the lever a maximum of 45 deg.,
measure,VERB,"to find the dimensions, capacity, or quantity of something",Measure the load.,
mechanical,ADJ,related to or operated with a mechanism,The standby system is mechanical.,
mechanically,ADV,in a mechanical manner,Operate the horizontal stabilizer mechanically.,
mechanism,NOUN,an assembly of mechanical parts that are made to operate together,Use white spirit to clean a hinge mechanism that has a grease nipple.,
medical,ADJ,related to medicine,"If you get hydraulic fluid in your eyes, flush them with water and get medical aid.",
melt,VERB,to change from solid to liquid because of heat,The fusible plugs must melt in 20 seconds or less.,
method,NOUN,a special type of procedure used to get a specified result,This procedure gives two methods for the temporary repair of the water tubes.,
middle,ADJ,at a point that is between two other points,Remove the middle bellcrank unit.,
middle,NOUN,a point that is at or near the center,Lift the seat to the middle of the travel.,
minimum,ADJ,"related to the smallest dimension, quantity, number or value",Make sure that the fluid in the hydraulic reservoir is above the minimum level.,
minimum,NOUN,"the smallest dimension, quantity, number, or value",Let the paint dry for a minimum of 1 hour.,
minus,ADP,with the subtraction of,"Increase the pressure in the shock absorber to 85.5 bar, plus or minus 2.7 bar.",
misrigged,ADJ,incorrectly adjusted,"If the marks are not aligned, the linkage is incorrectly adjusted.","If the marks are not aligned, the linkage is misrigged."
missing,ADJ,that is not there,"If the seals are missing, install new seals.",
mix,VERB,to put together two or more materials to make one combination,Mix the compound fully.,
mixture,NOUN,the result that you get when you mix materials,Do not use this mixture when the temperature is less than 15c.,
mobile,ADJ,that is made to move easily,Connect the mobile ground power unit.,
mode,NOUN,a special condition of operation,"Make sure that the ""heading select"" mode operates.",
moderate,ADJ,between low and high values,Apply a moderate load on the brake pedals.,
moderately,ADV,in a moderate manner,You can apply a second layer when the surface is moderately dry.,
moist,ADJ,moderately wet,Clean the panel with a moist cloth.,
momentarily,ADV,for a short time,Stop the pump momentarily. then start it again.,
monitor,VERB,to look at something for a period to see if there is a change.,Monitor the indicators on the overhead panel.,
moor,VERB,to attach something to the ground,"In bad weaher conditions, moor the boat.",
more,ADV,"by a larger dimension, value, quantity, number or degree","If it is necessary to decrease the cable tension more, use the turnbuckle.",
movable,ADJ,that can move if necessary,Turn the movable half-collar of the support.,
move,VERB,to change position or location,Make sure that the pointer moves freely.,
movement,NOUN,a change of position or location,Sudden operation of the gyro can cause unwanted movement of the horizontal stabilizer.,
much,ADJ,"of relatively large dimension, value, quantity, or volume",Do not apply too much pressure.,
multiply,VERB,to use multiplication to get a result,Multiply the indicator value by the scale value.,
must,VERB,helping verb that shows obligation,The bat 1 switch must be in the on position.,
name,NOUN,the identification you give to a person or an object,Push the line key adjacent to the name of the system.,
near,ADJ,at or to a relatively short distance,Put the tool on the near face of the installation.,
near,ADP,approaching in space or condition,Balance the elevator near its maximum limit.,
necessary,ADJ,that must be,"If necessary, turn the fitting.",
neutral,ADJ,that has no effect,Make sure that the controls are in the neutral position.,
never,ADV,do not,Do not let the level in the tank decrease to less than half.,Never allow level in the tank to drop below half.
new,ADJ,not used before,Install a new gasket on the flange.,
next,ADJ,the first occurrence that follows immediately after in time or sequence,Remove the unit before the next flight.,
next to,ADP,adjacent to,The pump is adjacent to the middle rib.,The pump is next to the middle rib.
no,ADJ,not any,Make sure that there is no fuel leakage.,
no,ADV,not any,Does the light come on? yes or no?,
noise,NOUN,An unwanted sound,"While the engine continues to turn, listen for unusual noises.",
none,PRON,"not one, not anyone","If none of the brackets are damaged, continue the inspection.",
nose,NOUN,"the front end or part, a part that protrudes",Pull the transparent plastic collar away from the nose of the electrical latch.,
not,ADV,adverb of negation,Do not let the pressure increase to more than 3000 psi.,
notch,NOUN,"an area in the shape of a ""v""",Make sure that the bogie rollers are aligned with the notches in the track.,
now,ADV,at this time,Do not tighten the nuts at this time.,Do not tighten the nuts now.
number,NOUN,a symbol or word that identifies an integer and/or decimal,Negative numbers show that the pressure decreases.,
obey,VERB,to do that which the procedures or instructions tell you,Obey the precautions that follow.,
object,NOUN,something that you can see or touch,Make sure that there are no loose objects in the air intake.,
occur,VERB,"to be found, to come to be, to take place",A sudden movement of the controls can occur.,
of,ADP,"function word that shows: from, belonging to, having or containing",Remove the split pins from the bolts in the bottom ends of the control rods.,
off,ADJ,not in operation,Make sure that the batteries are off.,
off,ADV,not in operation,Make sure that the warning light goes off.,
off,ADP,not in contact with,Make sure that the tire is fully off the ground.,
omit,VERB,do not do,Do not do steps 3 thru 5.,Omit steps 3 to 5.
on,ADJ,in operation,Make sure that the batteries are on.,
on,ADV,in operation,Make sure that the warning light comes on.,
on,ADP,"function word that shows contact, support, direction",Put the assembled parts on the support fitting.,
once,SCONJ,when,"When the unit is on its mounting, lock it.","Once the unit is on its mounting, it can be locked."
one,PRON,that refers to a single person or objectnote: also a tn.,"If the label is not there, attach a new one.",
only,ADJ,nothing more or different,This is the only approved configuration.,
onto,ADP,to a position on or upon,"When you lower the pump, move it onto the mounting brackets.",
opaque,ADJ,not transparent,Clean the plastic surfaces that are not transparent.,Clean opaque plastic surfaces.
open,ADJ,that lets something go in or out,Put a plug on the open end of each pipe.,
open,VERB,to move or cause to move from the closed position,Open the pressure valve.,
opening,NOUN,an aperture or hole in a surface,Make sure that the opening is clear.,
operate,VERB,"to put, keep, or be in action",Operate the plunger to drain the system.,
operation,NOUN,that which occurs when something operates or is operated,This procedure is important for the correct operation of the valve.,
opposite,ADJ,in the other direction,The reset device operates in the opposite direction.,
opposite,ADP,across from,The unit is in the wheel bay opposite the landing gear.,
optional,ADJ,not mandatory,This tool is optional.,
or,SCONJ,function word that shows a choice,Do not touch the high tension leads or the igniter plugs.,
other,ADJ,not the same as that given before,Connect one of the studs to the ground and the other studs to the pins.,
other,PRON,that which is not the same as that given before,"Connect one plug, then connect the other.",
otherwise,ADV,if not,"Make sure that the rods are adjusted. if the adjustment is not correct, adjust them as follows:","Check that rods are already adjusted, otherwise adjust them as follows:"
out,ADV,"away from, not in, or at a location or position","If the indicator button is out, replace the filter.",
out of,ADP,through or from the inside to the outside,Tilt the fitting to make the barrel nut fall out of it.,
outboard,ADJ,farther from the longitudinal axis of something,Measure the movement of the inboard and outboard flaps.,
outboard,ADV,"in, or to a position farther from the longitudinal axis of something",Move the jack outboard to disengage it from the jacking point.,
outboard of,ADP,at a position farther from the longitudinal axis,Put the access platform in a position that is outboard of the flap track.,
outdoors,ADV,not in a building,Do this work outdoors.,
outer,ADJ,farther from the center of an object,Apply sealant on the outer surface.,
output,NOUN,"the data, power, energy that comes out of equipment or a system",The impedance matching transformers supply the 60 w output to the loudspeakers.,
over,ADP,"To indicate a position higher than or above land or waterNOTE: Only for movement above land or water.  Not permitted for other meanings.  Refer to the keyword ""over (prep)"" below.","Before flight operations over water at low altitutdes, apply corrosion-preventive fluid to the door hinges of the landing gear.",
overboard,ADV,out of the aircraft,Release the air overboard.,
overfill,VERB,too much,Do not put too much fluid in the lubrication hole.,Do not overfill the lubrication hole.
overfull,ADJ,too full,"If the tank is too full, you cannot pressurize it correctly.","If the tank is overfull, you cannot pressurize it correctly."
overheat,VERB,too hot,"If you pressurize the oxygen bottle quickly, it will become too hot.",Rapid charging overheats the oxygen bottle.
overlap,NOUN,the area in which a part of one surface is on a part of a second surface,Replace the part if the overlap is more than 0.01 mm.,
override,VERB,to prevent the automatic operation of a part or system,Manually override the start sequence.,
overtighten,VERB,tighten too much,Do not tighten the fittings too much.,Do not overtighten fittings.
paint,VERB,to apply paint to something,Paint all the surfaces.,
pair,NOUN,"two objects that are the same or almost the same, and/or that you use together",Measure the distance between each pair of axles.,
parallel,ADJ,along lines that stay a constant distance apart at all points,Make sure that the turnbuckle is parallel to the axis of the air outlet.,
park,VERB,to stop a vehicle and to let it stay in one position on the ground,Park the car.,
part,NOUN,a constituent of a machine or other equipment,Replace the damaged parts.,
partial,ADJ,not fully,"If the flaps do not fully extend, do the test again.","If only partial flap extension of the flap occurs, do the test again."
partially,ADV,not fully,"If the flaps do not fully extend, do the test again.","If flaps only partially extend, do the test again."
particle,NOUN,a very small piece of material,"If you find metal particles in the pump, find their source and repair the defective part.",
partly,ADV,not fully,"If the valve does not fully open, examine the positions of the end stops on the actuator.","If the valve opens only partly, check the positions of the end stops on the actuator."
pass,VERB,be on,Make sure that the cable is on the pulley.,Make sure that the cable passes over the pulley.
paste,NOUN,"a wet, flexible mixture or compound",Mix the materials until they make a paste.,
patch,NOUN,a piece of material that you use to repair a surface or hole,Bond the patch to the tube with adhesive.,
per,ADP,for each,Do not use more than two washers for each bolt.,A maximum of two washers per bolt is permitted.
perform,VERB,do or other command verb construction,Do the leak test.,Perform leak test.
performance,NOUN,"the ability of a part, a mechanism, or system to do its necessary function when you compare it to a standard or specification",Some repairs can decrease the performance of the engine.,
period,NOUN,a quantity of time,The emergency locator has a standby period of 30 seconds.,
permanent,ADJ,without a limit in time,Make a permanent repair.,
permanently,ADV,in a permanent manner,The no smoking signs in the cabin stay on permanently during flight.,
perpendicular,ADJ,at a 90 degree angle to a given line or plane,Make sure that the tool and fastener are perpendicular to the work surface.,
person,NOUN,an individual human being,Make sure that there is a person near the tank.,
personnel,NOUN,persons employed in a group or organization,Injury to personnel and/or damage to equipment can occur.,
piece,NOUN,"a quantity or segment of a whole that you can use on its own, or that can operate as an individual item",Remove all pieces of the broken seal.,
play,NOUN,"free movement, the length or dimension of this movement",The play between the two gears must be less than 0.05 mm.,
plus,ADP,with the addition of,"Increase the pressure in the shock absorber to 85.5 bar, plus or minus 2.7 bar.",
pneumatic,ADJ,"Related to, or operated by gas pressure",Install the pneumatic controller.,
pneumatically,ADV,with pneumatic power,Use a pneumatically-operated tool.,
point,NOUN,a sharp or tapered end,Put the point of the tool in the slot.,
